Components,Pressure_kPa,Temperature_C,Speed_mms,Cells (e6/ml),Needle_um,Has_Cells,num_components,contains_alginate,contains_gelatin,contains_pcl,contains_gelatin_methacrylated,contains_hydroxyapatite,contains_hyaluronic_acid,contains_pluronic_f127,contains_plga,contains_methylcellulose,contains_beta_tricalcium_phosphate,contains_chitosan,contains_fibrinogen,contains_carbopol,contains_polypropylene_fumarate_ppf,contains_diethyl_fumarate_def,contains_diclofenac_sodium,contains_lactose,contains_polyplasdone,contains_gellan_gum,contains_laponite,contains_glycerol,contains_pegda,contains_collagen,contains_hyaluronic_acid_methacrylated,contains_hydroxypropyl_methylcellulose,alginate_conc,gelatin_conc,pcl_conc,gelatin_methacrylated_conc,hydroxyapatite_conc,hyaluronic_acid_conc,pluronic_f127_conc,plga_conc,methylcellulose_conc,beta_tricalcium_phosphate_conc,chitosan_conc,fibrinogen_conc,carbopol_conc,polypropylene_fumarate_ppf_conc,diethyl_fumarate_def_conc,diclofenac_sodium_conc,lactose_conc,polyplasdone_conc,gellan_gum_conc,laponite_conc,glycerol_conc,pegda_conc,collagen_conc,hyaluronic_acid_methacrylated_conc,hydroxypropyl_methylcellulose_conc,dominant_material_type,total_solid_content,has_synthetic_polymer,has_natural_polymer,volumetric_flow_rate,wall_shear_rate,specific_pressure,throughput_capacity,temp_stress,shear_stress_risk,resolution_capability
PCL [100 wt%] ,500.0,160.0,12.0,,310.0,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.9057211620299375,154.83821019932196,41.66666319444474,1153200.0,1,0,0.003225806441207076
PCL [100 wt%] ,550.0,160.0,1.0,,210.0,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.03463605900582747,19.047528345103117,549.99945000055,44100.0,1,1,0.004761904739229025
PCL [85 wt%] Hydroxyapatite [15 wt%] ,450.0,160.0,1.2,,410.0,False,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,85.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.15843051752053322,11.707288518808491,374.99968750026045,201720.0,1,0,0.0024390243842950625
PCL [85 wt%] Hydroxyapatite [15 wt%] ,500.0,160.0,0.5,,310.0,False,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,85.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.03773838175124739,6.451592091638415,999.9980000039999,48050.0,1,0,0.003225806441207076
PCL [85 wt%] Hydroxyapatite [15 wt%] ,550.0,160.0,0.8,,210.0,False,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,85.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.027708847204661977,15.238022676082496,687.4991406260741,35280.0,1,1,0.004761904739229025
PCL [70 wt%] Hydroxyapatite [30 wt%] ,500.0,160.0,1.0,,410.0,False,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.13202543126711103,9.756073765673744,499.99950000050006,168100.0,1,0,0.0024390243842950625
PCL [70 wt%] Hydroxyapatite [30 wt%] ,550.0,160.0,0.8,,310.0,False,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.06038141080199583,10.322547346621464,687.4991406260741,76880.0,1,0,0.003225806441207076
PCL [70 wt%] Hydroxyapatite [30 wt%] ,650.0,160.0,0.5,,210.0,False,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.017318029502913734,9.523764172551559,1299.9974000052,22050.0,1,1,0.004761904739229025
PCL [100 wt%] ,500.0,160.0,1.2,,410.0,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.15843051752053322,11.707288518808491,416.66631944473386,201720.0,1,0,0.0024390243842950625
PCL [85 wt%] Hydroxyapatite [15 wt%] ,500.0,160.0,0.9,,410.0,False,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,85.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.11882288814039993,8.780466389106369,555.5549382722908,151290.0,1,0,0.0024390243842950625
